[17:05:04.643] === session demarree, SROptimizer 0.1.0 ===
[17:05:04.645] config : profil=custom lod=False ab=False unlockFrameRate=False
[17:07:57.123] etat : privee 0 Mo | travail 0 Mo | unity 1034 Mo | geree 114 Mo | acteurs 266 | fps 91
[17:07:59.130] etat : privee 0 Mo | travail 0 Mo | unity 1034 Mo | geree 102 Mo | acteurs 266 | fps 97
[17:08:01.138] etat : privee 0 Mo | travail 0 Mo | unity 1035 Mo | geree 126 Mo | acteurs 266 | fps 82
[17:08:03.144] etat : privee 0 Mo | travail 0 Mo | unity 1035 Mo | geree 114 Mo | acteurs 266 | fps 78
[17:08:05.147] etat : privee 0 Mo | travail 0 Mo | unity 1036 Mo | geree 104 Mo | acteurs 224 | fps 92
[17:08:07.151] etat : privee 0 Mo | travail 0 Mo | unity 1037 Mo | geree 100 Mo | acteurs 249 | fps 92
[17:08:09.154] etat : privee 0 Mo | travail 0 Mo | unity 1037 Mo | geree 128 Mo | acteurs 192 | fps 98
[17:08:11.160] etat : privee 0 Mo | travail 0 Mo | unity 1038 Mo | geree 119 Mo | acteurs 200 | fps 80
[17:08:13.168] etat : privee 0 Mo | travail 0 Mo | unity 1038 Mo | geree 111 Mo | acteurs 200 | fps 80
[17:08:15.169] etat : privee 0 Mo | travail 0 Mo | unity 1038 Mo | geree 104 Mo | acteurs 199 | fps 86
[17:08:17.178] etat : privee 0 Mo | travail 0 Mo | unity 1037 Mo | geree 100 Mo | acteurs 198 | fps 16
[17:08:19.182] etat : privee 0 Mo | travail 0 Mo | unity 1038 Mo | geree 128 Mo | acteurs 198 | fps 92
[17:08:21.191] etat : privee 0 Mo | travail 0 Mo | unity 1037 Mo | geree 120 Mo | acteurs 202 | fps 99
[17:08:23.200] etat : privee 0 Mo | travail 0 Mo | unity 1037 Mo | geree 112 Mo | acteurs 201 | fps 103
[17:08:25.205] etat : privee 0 Mo | travail 0 Mo | unity 1037 Mo | geree 109 Mo | acteurs 197 | fps 96
[17:08:27.207] etat : privee 0 Mo | travail 0 Mo | unity 1037 Mo | geree 106 Mo | acteurs 197 | fps 89
[17:08:29.211] etat : privee 0 Mo | travail 0 Mo | unity 1036 Mo | geree 103 Mo | acteurs 127 | fps 112
[17:08:31.360] etat : privee 0 Mo | travail 0 Mo | unity 806 Mo | geree 109 Mo | acteurs 148 | fps 4
[17:08:33.091] === fin normale : fermeture du jeu ===
